"date","inflation","inflation.expectations","labour.costs.growth","unemployment","imports.price.growth","oil.price.change","dummy"
1968-03-31,1.1,0.6875,-6.04910745015339,1.65458390118189,1.52007121782514,-2.12649842405602e-07,1
1968-06-30,0.55,0.6875,3.77922467570311,1.57986519907035,1.86491589803719,-4.00679489588022e-10,1
1968-09-30,1.1,0.6875,-2.68911674928001,1.6,1.15059160647459,1.03600043562391e-06,1
1968-12-31,0,0.6875,5.82730251408876,1.57088927181405,0.823049768666428,0.0100073730025472,1
1969-03-31,1.1,0.6875,-7.21331069182428,1.52988150725217,0.473271706063594,8.61456906728325,1
1969-06-30,0,0.77,3.0323349064209,1.57340954065473,-0.159741305194661,0.778167775107514,1
1969-09-30,1.1,0.55,-0.81119701765755,1.5,0.682654004786309,0.000149671665408223,1
1969-12-31,1,0.55,6.88677380884573,1.43073281474075,1.05079325273023,2.59551646504936e-07,1
1970-03-31,1,0.692857142857143,-8.9916117888215,1.40496323296239,2.44747847787823,0.000241589739018982,1
1970-06-30,1,0.757142857142857,10.6577595850191,1.43307955998596,3.11659505474267,-1.27529981394203,1
1970-09-30,1,0.742857142857143,1.19495285559741,1.4,4.40913936776459,-0.00548905776563011,1
1970-12-31,1,0.885714285714286,8.87336654408466,1.45246474130592,6.19384365394369,7.57008624295492,1
1971-03-31,1,0.871428571428571,-10.8712962959516,1.57780780591793,6.79329684093737,-0.0763351575103143,1
1971-06-30,1.9,1.01428571428571,7.32152824912933,1.64557455305778,8.44506696374361,-2.59030443669702e-05,1
1971-09-30,1,1.12857142857143,-2.18079863817024,1.7,7.98466224168368,-7.15872916526949e-09,1
1971-12-31,1,1.12857142857143,5.75046819289131,1.90097110715423,7.12914937064599,-1.93178806284779e-12,1
1972-03-31,1.8,1.12857142857143,-6.20754921108444,2.10670484611969,7.22433100451063,2.8865798640254e-13,1
1972-06-30,0.9,1.24285714285714,8.12745650323019,2.3258128126639,6.30173271829051,0,1
1972-09-30,0.9,1.22857142857143,-1.60984918872309,2.5,4.94590938148221,2.06945571790108e-11,1
1972-12-31,1.8,1.21428571428571,9.79624630878161,2.29097484525796,3.78344316081338,7.0334338328727e-08,1
1973-03-31,1.8,1.32857142857143,-10.1080975495454,2.16386329509631,2.65913661618771,0.000195171737026034,1
1973-06-30,3.3,1.31428571428571,11.2832973606959,2.00911097148067,1.66389195042727,1.70750916491506,1
1973-09-30,3.3,1.64285714285714,0.72042795303775,1.8,4.10214319039268,16.9308783393137,1
1973-12-31,3.4,1.97142857142857,8.25937672826522,1.99173416021557,6.78185769265309,60.5722103426746,1
1974-03-31,3.4,2.2,-6.48536800679406,2.11540410098532,8.71496062617902,24.0116926295606,1
1974-06-30,3.5,2.55714285714286,11.0122691211253,2.26318265007805,11.4722519640218,-0.00149616647249334,1
1974-09-30,3.8,2.92857142857143,7.92332078659044,2.4,16.0053979243546,5.1191467481107,1
1974-12-31,3.8,3.21428571428571,8.48896067071581,2.92753256571094,20.6464615707163,4.68253364700427,1
1975-03-31,3.5,3.5,0.300964398814763,3.48760993685672,24.7456635920131,0.000877595582620665,1
1975-06-30,3.5,3.52857142857143,8.30245166397463,4.0311428588417,28.5528031984927,1.66263358498125e-07,1
1975-09-30,3.3,3.55714285714286,1.39800320482657,4.6,23.8192933914478,1.29172824531693e-05,1
1975-12-31,3,3.54285714285714,6.04785024651335,4.57522393365444,18.9503849932534,0.0978890350294068,1
1976-03-31,2.3,3.48571428571429,-4.11864921797662,4.60347736953027,15.1593181825313,8.27437960687928,1
1976-06-30,3,3.31428571428571,9.79866403106384,4.66948913339152,11.6302766669035,0.223676393934861,1
1976-09-30,2.3,3.2,0.733405053492575,4.7,12.4827478244362,13.1002426032344,1
1976-12-31,2.3,2.98571428571429,6.03960663608228,4.92663906799734,13.7426301536526,0.228256872881574,1
1977-03-31,2.3,2.81428571428571,-9.2841788159159,5.20998928117998,14.5922155586806,3.45281423795209e-05,0
1977-06-30,2.4,2.64285714285714,7.9916402082365,5.40892017782581,15.4434976577434,0.418896824057746,0
1977-09-30,2.1,2.51428571428571,2.61911134931916,5.7,14.9628816113085,5.93572922859189,0
1977-12-31,2,2.38571428571429,5.32519986718005,5.82060063597071,14.6080522144621,0.00152063624043528,0
1978-03-31,1.9,2.34285714285714,-5.88069489224543,5.94438724347735,14.3861870292477,5.9319609048732e-07,0
1978-06-30,1.9,2.18571428571429,5.64967412272322,6.26082193333333,14.0970927226467,2.66902055976368e-08,0
1978-09-30,1.8,2.12857142857143,-0.285576385572894,6.32224473333333,13.0601715736927,4.85424335259897e-05,0
1978-12-31,1.9,2.05714285714286,4.94879187317143,6.30104656666667,11.8339557430246,0.87853474994918,0
1979-03-31,2.3,2,-5.52291058294846,6.31091603333333,11.0921096245534,8.28288134569281,0
1979-06-30,2.5,1.98571428571429,4.76966180358889,6.318468,10.0657668536964,22.7767695961331,0
1979-09-30,2.5,2.04285714285714,3.45273861931504,6.2090765,12.0970990889756,34.0726475805009,0
1979-12-31,2.6,2.11428571428571,3.75494384812132,6.1840222,14.0180983010501,13.0807518040517,0
1980-03-31,2.5,2.21428571428571,-1.03569541850985,6.02781196666667,15.655526917117,16.9709506350164,0
1980-06-30,2.3,2.3,3.3357409422625,6.22865016666667,17.3486840193352,1.41181231245344,0
