"date","inflation","inflation.expectations","interest","gdp.log"
1960-03-31,3.17731831654565,1.21328611004125,3.4262869249264,11.110550577209
1960-06-30,1.94670017089805,1.77542800808687,3.25,11.1377955566581
1960-09-30,4.59859998912612,1.68851920594187,3.47001422112238,11.1400485464552
1960-12-31,5.60034014923004,1.63881898286651,3.56367047039528,11.1380720027275
1961-03-31,2.41397900146313,1.5227621797618,3.5739214661208,11.1410788684857
1961-06-30,2.74908516515337,3.84050107624317,4.17,11.1300532055147
1961-09-30,-0.365300667868363,2.59952591199454,3.89805888248265,11.1228710005615
1961-12-31,-3.07514540451584,0.430654523558075,3.74422407416769,11.1341801815614
1962-03-31,0.429772771833213,-0.0653970338494045,3.70322731490577,11.1618633112414
1962-06-30,-0.173136351224389,-0.795952412943844,3.45,11.1808455678869
1962-09-30,0.2543967830249,-0.641028050220528,3.53999971111163,11.1888974765066
1962-12-31,1.07713344642193,0.397041662513914,3.67946560758843,11.2066855901062
1963-03-31,-0.352541456659767,0.201463105390669,3.64476108342689,11.2295275357908
1963-06-30,-0.983782523107544,-0.00119843758011948,3.75,11.2164178954691
1963-09-30,3.10613862666664,0.711737023330316,3.78912584764915,11.2566386950628
1963-12-31,2.5229804614231,1.07319877708061,3.70125089306903,11.2778358426376
1964-03-31,2.20586105707089,1.71279940551327,3.73785107926255,11.276227972592
1964-06-30,3.35345666488819,2.79710920251221,3.71,11.3006105715383
1964-09-30,2.07949745680422,2.5404489100466,3.75924824517272,11.3067865124718
1964-12-31,4.20544570013055,2.96106521972346,3.84271228354108,11.3348269784491
1965-03-31,3.13687255764072,3.19381809486592,4.05553065590709,11.3431804903807
1965-06-30,3.31276991328972,3.1836464069663,4.16,11.3587364510749
1965-09-30,4.74484613243952,3.84998357587513,4.34305676534292,11.3558154105103
1965-12-31,4.71897357714502,3.97836554512875,4.49595129026853,11.3582463121924
1966-03-31,4.39140938532239,4.29199975204916,4.51706106403583,11.3553589578418
1966-06-30,1.28358167405495,3.78470269224047,4.73,11.3689627115305
1966-09-30,-0.17231715992814,2.55541186914856,4.6223900262247,11.3968297549789
1966-12-31,3.26061985931696,2.19082343969154,4.6220184969009,11.4033561045383
1967-03-31,5.19215634976289,2.39101018080167,4.63338545820028,11.4416442629653
1967-06-30,3.98959865750118,3.06751442666322,4.46,11.4402364855699
1967-09-30,3.71292700394759,4.03882546763216,4.34640224594504,11.4588599103652
1967-12-31,2.7144851473792,3.90229178964772,4.40264959916881,11.4674991367554
1968-03-31,3.0733833629603,3.37259854294707,4.51794434359116,11.4585537529029
1968-06-30,1.41295622015114,2.72843793360956,4.29,11.4963284940629
1968-09-30,1.50816970413986,2.17724860865762,4.32876985063964,11.5094594653271
1968-12-31,2.87612757937754,2.21765921665721,4.51650363806655,11.5460603895291
1969-03-31,5.00251361590336,2.69994177989297,4.79614769718927,11.5391096475436
1969-06-30,4.22938088548346,3.40404794622605,4.59,11.5587302248707
1969-09-30,1.22229674159305,3.33257970558935,4.90166151240554,11.5751488081504
1969-12-31,2.18829736069051,3.1606221509176,5.24525721121117,11.5979281592402
